店名,評分,評論數,地址,鏈接
正義冷飲部,4.9 ,77,241新北市三重區正義南路86巷20號,https://www.google.com/maps/place/%E6%AD%A3%E7%BE%A9%E5%86%B7%E9%A3%B2%E9%83%A8/data=!4m7!3m6!1s0x3442a968e6eacfd5:0xfde7019dd44eec34!8m2!3d25.0583046!4d121.4995619!16s%2Fg%2F11vd3pk_4l!19sChIJ1c_q5mipQjQRNOxO1J0B5_0?authuser=0&hl=zh-TW&rclk=1
Hum Hum 酒的冰,5.0 ,168,241新北市三重區中央北路68號,https://www.google.com/maps/place/Hum+Hum+%E9%85%92%E7%9A%84%E5%86%B0/data=!4m7!3m6!1s0x3442a908694c7d31:0xbbd8147e5f011ba8!8m2!3d25.0661997!4d121.5002584!16s%2Fg%2F11y7q34l_4!19sChIJMX1MaQipQjQRqBsBX34U2Ls?authuser=0&hl=zh-TW&rclk=1
舒壓會館飛鏢bar,4.5 ,2,241新北市三重區正義南路61號b1,https://www.google.com/maps/place/%E8%88%92%E5%A3%93%E6%9C%83%E9%A4%A8%E9%A3%9B%E9%8F%A2bar/data=!4m7!3m6!1s0x3442a9f336073f3f:0x1cd42d3907969b9b!8m2!3d25.0603817!4d121.4981256!16s%2Fg%2F11rmv3nz45!19sChIJPz8HNvOpQjQRm5uWBzkt1Bw?authuser=0&hl=zh-TW&rclk=1
直火1954 Bar & Grill,4.8 ,83,241新北市三重區正義南路86巷19號2樓,https://www.google.com/maps/place/%E7%9B%B4%E7%81%AB1954+Bar+%26+Grill/data=!4m7!3m6!1s0x3442a96182e1ddfd:0xd593411554414340!8m2!3d25.0577884!4d121.4998019!16s%2Fg%2F11l224zkf6!19sChIJ_d3hgmGpQjQRQENBVBVBk9U?authuser=0&hl=zh-TW&rclk=1
獅子星音樂運動PUB,5.0 ,3,241新北市三重區重新路二段23號6樓,https://www.google.com/maps/place/%E7%8D%85%E5%AD%90%E6%98%9F%E9%9F%B3%E6%A8%82%E9%81%8B%E5%8B%95PUB/data=!4m7!3m6!1s0x3442a9cb07857cc5:0x8905a5dae4f1b986!8m2!3d25.0624782!4d121.4979887!16s%2Fg%2F11s2yszq_f!19sChIJxXyFB8upQjQRhrnx5NqlBYk?authuser=0&hl=zh-TW&rclk=1
上層發酵精釀啤酒.Bar Top - Fermenting,4.9 ,192,地址未找到,https://www.google.com/maps/place/%E4%B8%8A%E5%B1%A4%E7%99%BC%E9%85%B5%E7%B2%BE%E9%87%80%E5%95%A4%E9%85%92.Bar+Top+-+Fermenting/data=!4m7!3m6!1s0x3442a86086399b29:0x7f434099e6f4a980!8m2!3d25.0464446!4d121.4683303!16s%2Fg%2F11fy1vwk7d!19sChIJKZs5hmCoQjQRgKn05plAQ38?authuser=0&hl=zh-TW&rclk=1
暢唱咖啡餐酒館CHANT CHANT,4.8 ,689,241新北市三重區重陽路一段43巷27號,https://www.google.com/maps/place/%E6%9A%A2%E5%94%B1%E5%92%96%E5%95%A1%E9%A4%90%E9%85%92%E9%A4%A8CHANT+CHANT/data=!4m7!3m6!1s0x3442a9cfe2954433:0x493a112671a8a5ad!8m2!3d25.0580439!4d121.487788!16s%2Fg%2F11gpp1mr13!19sChIJM0SV4s-pQjQRraWocSYROkk?authuser=0&hl=zh-TW&rclk=1
和本津野營餐酒館,4.7 ,671,地址未找到,https://www.google.com/maps/place/%E5%92%8C%E6%9C%AC%E6%B4%A5%E9%87%8E%E7%87%9F%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a8e3fc9e1a31:0x7bd036c073589427!8m2!3d25.0573862!4d121.4835654!16s%2Fg%2F1q67h9f4f!19sChIJMRqe_OOoQjQRJ5RYc8A20Hs?authuser=0&hl=zh-TW&rclk=1
豪情卡拉OK,4.0 ,226,"號地下室, 66自強路一段三重區新北市241",https://www.google.com/maps/place/%E8%B1%AA%E6%83%85%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442a923d7c7f447:0x6602bff4bbdfb4ef!8m2!3d25.0665702!4d121.4972531!16s%2Fg%2F11bccmjtkv!19sChIJR_TH1yOpQjQR77Tfu_S_AmY?authuser=0&hl=zh-TW&rclk=1
V's 貓咪酒吧,4.3 ,6,241新北市三重區重安街35號,https://www.google.com/maps/place/V%27s+%E8%B2%93%E5%92%AA%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a9973132ed87:0x7e69bbcdc33e9060!8m2!3d25.0567667!4d121.4911173!16s%2Fg%2F11sjz5c4c6!19sChIJh-0yMZepQjQRYJA-w827aX4?authuser=0&hl=zh-TW&rclk=1
熊嗨啤串烤酒場,4.8 ,47,241新北市三重區龍濱路86號1樓,https://www.google.com/maps/place/%E7%86%8A%E5%97%A8%E5%95%A4%E4%B8%B2%E7%83%A4%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a9866bc66b65:0x18298daca8c7bac6!8m2!3d25.0698095!4d121.502214!16s%2Fg%2F11vw_sr5dl!19sChIJZWvGa4apQjQRxrrHqKyNKRg?authuser=0&hl=zh-TW&rclk=1
老串角居酒屋-三重店,4.9 ,"3,771",241新北市三重區重陽路三段103號,https://www.google.com/maps/place/%E8%80%81%E4%B8%B2%E8%A7%92%E5%B1%85%E9%85%92%E5%B1%8B-%E4%B8%89%E9%87%8D%E5%BA%97/data=!4m7!3m6!1s0x3442a92f8826b82f:0xab57e9b32181e8df!8m2!3d25.0682887!4d121.4906323!16s%2Fg%2F11s9dcn47n!19sChIJL7gmiC-pQjQR3-iBIbPpV6s?authuser=0&hl=zh-TW&rclk=1
百富歌城,3.9 ,107,24146新北市三重區龍門路1號B1,https://www.google.com/maps/place/%E7%99%BE%E5%AF%8C%E6%AD%8C%E5%9F%8E/data=!4m7!3m6!1s0x3442a9d389dd6f2b:0xa7b7434568c91431!8m2!3d25.070982!4d121.494895!16s%2Fg%2F11h1yfzmf0!19sChIJK2_didOpQjQRMRTJaEVDt6c?authuser=0&hl=zh-TW&rclk=1
BLUE PAPA,4.9 ,139,247新北市蘆洲區中山二路129號,https://www.google.com/maps/place/BLUE+PAPA/data=!4m7!3m6!1s0x3442a9f0f3f17613:0x93c3444d02338b9f!8m2!3d25.0815046!4d121.4721292!16s%2Fg%2F11k3j35nfj!19sChIJE3bx8_CpQjQRn4szAk1Ew5M?authuser=0&hl=zh-TW&rclk=1
96歌坊,3.6 ,196,241新北市三重區自強路二段96號 號,https://www.google.com/maps/place/96%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a8decdbaba3f:0xba1f385ef1f75c0f!8m2!3d25.0707386!4d121.4876172!16s%2Fg%2F11g6nft0ld!19sChIJP7q6zd6oQjQRD1z38V44H7o?authuser=0&hl=zh-TW&rclk=1
音悅公賣局,4.2 ,17,241新北市三重區自強路一段188號,https://www.google.com/maps/place/%E9%9F%B3%E6%82%85%E5%85%AC%E8%B3%A3%E5%B1%80/data=!4m7!3m6!1s0x3442a921a628f2f5:0x73d46541c38bd4aa!8m2!3d25.0662748!4d121.4948795!16s%2Fg%2F11k5n51z7k!19sChIJ9fIopiGpQjQRqtSLw0Fl1HM?authuser=0&hl=zh-TW&rclk=1
絢居酒屋,4.8 ,251,241新北市三重區力行路二段107號,https://www.google.com/maps/place/%E7%B5%A2%E5%B1%85%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x3442a9b546229b29:0xce4c34d939b8db88!8m2!3d25.0760991!4d121.4828358!16s%2Fg%2F11mhlh6rx3!19sChIJKZsiRrWpQjQRiNu4Odk0TM4?authuser=0&hl=zh-TW&rclk=1
貝多芬鋼琴歌坊,4.1 ,35,241新北市三重區重陽路四段21號,https://www.google.com/maps/place/%E8%B2%9D%E5%A4%9A%E8%8A%AC%E9%8B%BC%E7%90%B4%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a8df5874722b:0x912c05fd7ab41809!8m2!3d25.069227!4d121.491381!16s%2Fg%2F11ggrd_clt!19sChIJK3J0WN-oQjQRCRi0ev0FLJE?authuser=0&hl=zh-TW&rclk=1
錢豹KTV,4.6 ,5,"5樓號, No. 68號正義北路三重區新北市241",https://www.google.com/maps/place/%E9%8C%A2%E8%B1%B9KTV/data=!4m7!3m6!1s0x3442a9221d954285:0x2a84a96d59bcf0cc!8m2!3d25.0643159!4d121.4971153!16s%2Fg%2F11hd08m32v!19sChIJhUKVHSKpQjQRzPC8WW2phCo?authuser=0&hl=zh-TW&rclk=1
皇后純卡拉ok,3.8 ,55,241新北市三重區重新路二段89號,https://www.google.com/maps/place/%E7%9A%87%E5%90%8E%E7%B4%94%E5%8D%A1%E6%8B%89ok/data=!4m7!3m6!1s0x3442a91f3ba5d713:0x1322d25e86bcf4c3!8m2!3d25.0618492!4d121.4960837!16s%2Fg%2F11clzr7grp!19sChIJE9elOx-pQjQRw_S8hl7SIhM?authuser=0&hl=zh-TW&rclk=1
宅丁亭-迴轉串燒 x 麥田現釀啤酒｜三重菜寮美食居酒屋｜宵夜餐廳推薦,4.5 ,"1,036",241新北市三重區中正南路62號,https://www.google.com/maps/place/%E5%AE%85%E4%B8%81%E4%BA%AD-%E8%BF%B4%E8%BD%89%E4%B8%B2%E7%87%92+x+%E9%BA%A5%E7%94%B0%E7%8F%BE%E9%87%80%E5%95%A4%E9%85%92%EF%BD%9C%E4%B8%89%E9%87%8D%E8%8F%9C%E5%AF%AE%E7%BE%8E%E9%A3%9F%E5%B1%85%E9%85%92%E5%B1%8B%EF%BD%9C%E5%AE%B5%E5%A4%9C%E9%A4%90%E5%BB%B3%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a91e627092eb:0xb48ec398bf684797!8m2!3d25.0596998!4d121.4941846!16s%2Fg%2F11c70cdtj3!19sChIJ65JwYh6pQjQRl0dov5jDjrQ?authuser=0&hl=zh-TW&rclk=1
老味噌居酒屋 - 三重店 | 三重美食/三重推薦餐廳/三重居酒屋/三重宵夜/三重串燒/三重必吃/天臺,4.8 ,"2,460",241新北市三重區重新路二段46之6號,https://www.google.com/maps/place/%E8%80%81%E5%91%B3%E5%99%8C%E5%B1%85%E9%85%92%E5%B1%8B+-+%E4%B8%89%E9%87%8D%E5%BA%97+%7C+%E4%B8%89%E9%87%8D%E7%BE%8E%E9%A3%9F%2F%E4%B8%89%E9%87%8D%E6%8E%A8%E8%96%A6%E9%A4%90%E5%BB%B3%2F%E4%B8%89%E9%87%8D%E5%B1%85%E9%85%92%E5%B1%8B%2F%E4%B8%89%E9%87%8D%E5%AE%B5%E5%A4%9C%2F%E4%B8%89%E9%87%8D%E4%B8%B2%E7%87%92%2F%E4%B8%89%E9%87%8D%E5%BF%85%E5%90%83%2F%E5%A4%A9%E8%87%BA/data=!4m7!3m6!1s0x3442a9a915553d11:0x4fc03678588c044a!8m2!3d25.0622615!4d121.4984177!16s%2Fg%2F11r3zm02c3!19sChIJET1VFampQjQRSgSMWHg2wE8?authuser=0&hl=zh-TW&rclk=1
