店名,評分,評論數,地址,鏈接
Lazy Rabbit Cafe,4.8 ,55,251新北市淡水區民生路140號,https://www.google.com/maps/place/Lazy+Rabbit+Cafe/data=!4m7!3m6!1s0x3442af9eec61dec3:0x75ba573fac9cdede!8m2!3d25.1383742!4d121.4643996!16s%2Fg%2F11fzp_gbd2!19sChIJw95h7J6vQjQR3t6crD9XunU?authuser=0&hl=zh-TW&rclk=1
The Balcony 陽臺,4.9 ,77,251新北市淡水區中正東路8-8號,https://www.google.com/maps/place/The+Balcony+%E9%99%BD%E8%87%BA/data=!4m7!3m6!1s0x3442af9c966fbc71:0x5831eea46fc76a2b!8m2!3d25.1664636!4d121.4478386!16s%2Fg%2F11p5rjmygz!19sChIJcbxvlpyvQjQRK2rHb6TuMVg?authuser=0&hl=zh-TW&rclk=1
液廊 SipGallery,4.3 ,48,251新北市淡水區水源街二段177巷73號,https://www.google.com/maps/place/%E6%B6%B2%E5%BB%8A+SipGallery/data=!4m7!3m6!1s0x3442affe88c77995:0xfe869a493b8b898d!8m2!3d25.1769264!4d121.4522089!16s%2Fg%2F11hczbk8l8!19sChIJlXnHiP6vQjQRjYmLO0mahv4?authuser=0&hl=zh-TW&rclk=1
項Bar,4.9 ,41,251新北市淡水區新民街222巷16號,https://www.google.com/maps/place/%E9%A0%85Bar/data=!4m7!3m6!1s0x3442a5b4eeaf8727:0x3952525a6d8731c8!8m2!3d25.1806281!4d121.4372751!16s%2Fg%2F11wfpcvm8n!19sChIJJ4ev7rSlQjQRyDGHbVpSUjk?authuser=0&hl=zh-TW&rclk=1
滬 Bar,4.6 ,18,251新北市淡水區大忠街141號,https://www.google.com/maps/place/%E6%BB%AC+Bar/data=!4m7!3m6!1s0x3442af653b66f5e9:0xce9fecb8b6631ef3!8m2!3d25.1768359!4d121.4477399!16s%2Fg%2F11vd6zpwt4!19sChIJ6fVmO2WvQjQR8x5jtrjsn84?authuser=0&hl=zh-TW&rclk=1
Bar Qvevri 自然酒 淡海總部,4.8 ,51,251新北市淡水區後洲路一段56號之 1 號,https://www.google.com/maps/place/Bar+Qvevri+%E8%87%AA%E7%84%B6%E9%85%92+%E6%B7%A1%E6%B5%B7%E7%B8%BD%E9%83%A8/data=!4m7!3m6!1s0x3442babbfb0bec71:0xbedf0864b6438074!8m2!3d25.2008992!4d121.4290828!16s%2Fg%2F11gcqwnn5c!19sChIJcewL-7u6QjQRdIBDtmQI374?authuser=0&hl=zh-TW&rclk=1
壹酒田,4.9 ,55,251新北市淡水區新民街190號,https://www.google.com/maps/place/%E5%A3%B9%E9%85%92%E7%94%B0/data=!4m7!3m6!1s0x3442a57898e7c5db:0xcbe047d3830bbd5d!8m2!3d25.1794893!4d121.4365783!16s%2Fg%2F11y4t4_w_w!19sChIJ28XnmHilQjQRXb0Lg9NH4Ms?authuser=0&hl=zh-TW&rclk=1
樂放音樂展演空間 Le Funky House,4.7 ,170,251新北市淡水區中正路22巷1之1號,https://www.google.com/maps/place/%E6%A8%82%E6%94%BE%E9%9F%B3%E6%A8%82%E5%B1%95%E6%BC%94%E7%A9%BA%E9%96%93+Le+Funky+House/data=!4m7!3m6!1s0x3442a5dc608cec23:0x6d9859e1973a97a0!8m2!3d25.172972!4d121.436274!16s%2Fg%2F11rg_mcd_9!19sChIJI-yMYNylQjQRoJc6l-FZmG0?authuser=0&hl=zh-TW&rclk=1
Flying Shisha,4.4 ,48,251新北市淡水區水源街二段80號,https://www.google.com/maps/place/Flying+Shisha/data=!4m7!3m6!1s0x345d539ed0eebaa9:0x4cd103eadc0337f4!8m2!3d25.1741847!4d121.4514801!16s%2Fg%2F11pk9f_538!19sChIJqbru0J5TXTQR9DcD3OoD0Uw?authuser=0&hl=zh-TW&rclk=1
牛Bar 淡海店,4.1 ,"1,561",251新北市淡水區義山路二段301號,https://www.google.com/maps/place/%E7%89%9BBar+%E6%B7%A1%E6%B5%B7%E5%BA%97/data=!4m7!3m6!1s0x3442bb17642db273:0x5d6ab2ed58dcfe08!8m2!3d25.1981597!4d121.4388518!16s%2Fg%2F11h3l38m8g!19sChIJc7ItZBe7QjQRCP7cWO2yal0?authuser=0&hl=zh-TW&rclk=1
無所事事就淡水,5.0 ,379,251新北市淡水區中正路12巷5-1號,https://www.google.com/maps/place/%E7%84%A1%E6%89%80%E4%BA%8B%E4%BA%8B%E5%B0%B1%E6%B7%A1%E6%B0%B4/data=!4m7!3m6!1s0x3442a5ecb409ac37:0xe082d94258a90de7!8m2!3d25.1707987!4d121.4396766!16s%2Fg%2F11kk5nzn7_!19sChIJN6wJtOylQjQR5w2pWELZguA?authuser=0&hl=zh-TW&rclk=1
將捷金鬱金香酒店 - 滬尾之星,4.5 ,64,25172新北市淡水區中正路一段2號,https://www.google.com/maps/place/%E5%B0%87%E6%8D%B7%E9%87%91%E9%AC%B1%E9%87%91%E9%A6%99%E9%85%92%E5%BA%97+-+%E6%BB%AC%E5%B0%BE%E4%B9%8B%E6%98%9F/data=!4m7!3m6!1s0x3442a5eba0e6f0c1:0xf3590e7d179f847e!8m2!3d25.1771041!4d121.4296193!16s%2Fg%2F11k5ywxdxz!19sChIJwfDmoOulQjQRfoSfF30OWfM?authuser=0&hl=zh-TW&rclk=1
Chill一夏,5.0 ,18,251新北市淡水區北新路182巷5弄53號,https://www.google.com/maps/place/Chill%E4%B8%80%E5%A4%8F/data=!4m7!3m6!1s0x3442af000ccbc21d:0x1743d3bb58cfcaea!8m2!3d25.1768941!4d121.4485616!16s%2Fg%2F11vr9qbnc3!19sChIJHcLLDACvQjQR6srPWLvTQxc?authuser=0&hl=zh-TW&rclk=1
好樂迪KTV 淡水店,3.8 ,"1,045",251新北市淡水區中正路250號,https://www.google.com/maps/place/%E5%A5%BD%E6%A8%82%E8%BF%AAKTV+%E6%B7%A1%E6%B0%B4%E5%BA%97/data=!4m7!3m6!1s0x3442a55a3dd5c0ff:0xd4ba09d26b181d56!8m2!3d25.1710218!4d121.4389607!16s%2Fg%2F1tdvb8k6!19sChIJ_8DVPVqlQjQRVh0Ya9IJutQ?authuser=0&hl=zh-TW&rclk=1
匞咖啡 jiangspace,4.9 ,142,251新北市淡水區觀海路26號,https://www.google.com/maps/place/%E5%8C%9E%E5%92%96%E5%95%A1+jiangspace/data=!4m7!3m6!1s0x3442a56ec8e12597:0xadf5919814762eaf!8m2!3d25.1817135!4d121.41835!16s%2Fg%2F11s4jd611p!19sChIJlyXhyG6lQjQRry52FJiR9a0?authuser=0&hl=zh-TW&rclk=1
癮Joy餐酒,4.8 ,314,251新北市淡水區博愛街25號,https://www.google.com/maps/place/%E7%99%AEJoy%E9%A4%90%E9%85%92/data=!4m7!3m6!1s0x3442afb0151b1861:0xbd86bdd14d96e900!8m2!3d25.1696753!4d121.4462916!16s%2Fg%2F11l6_yy1_y!19sChIJYRgbFbCvQjQRAOmWTdG9hr0?authuser=0&hl=zh-TW&rclk=1
好久不見歡唱俱樂部,4.1 ,60,25154新北市淡水區沙崙路257號,https://www.google.com/maps/place/%E5%A5%BD%E4%B9%85%E4%B8%8D%E8%A6%8B%E6%AD%A1%E5%94%B1%E4%BF%B1%E6%A8%82%E9%83%A8/data=!4m7!3m6!1s0x3442bbe545be2e35:0x32ed26ff1f5b57c7!8m2!3d25.1857113!4d121.4261803!16s%2Fg%2F11fcp8_lcp!19sChIJNS6-ReW7QjQRx1dbH_8m7TI?authuser=0&hl=zh-TW&rclk=1
天籟之音卡拉OK,4.3 ,68,251新北市淡水區大庄里沙崙路201巷32號1 樓,https://www.google.com/maps/place/%E5%A4%A9%E7%B1%9F%E4%B9%8B%E9%9F%B3%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442a54abc7fbbf1:0xb19d78854bf8ac81!8m2!3d25.1858831!4d121.4237631!16s%2Fg%2F11f15gv5x2!19sChIJ8bt_vEqlQjQRgaz4S4V4nbE?authuser=0&hl=zh-TW&rclk=1
Uncle James' Wine《預約制。如果燈亮著，歡迎光臨！》淡水葡萄酒｜精緻紅酒禮盒｜品飲室｜熱門酒品,5.0 ,14,251新北市淡水區水源街二段153號,https://www.google.com/maps/place/Uncle+James%27+Wine%E3%80%8A%E9%A0%90%E7%B4%84%E5%88%B6%E3%80%82%E5%A6%82%E6%9E%9C%E7%87%88%E4%BA%AE%E8%91%97%EF%BC%8C%E6%AD%A1%E8%BF%8E%E5%85%89%E8%87%A8%EF%BC%81%E3%80%8B%E6%B7%A1%E6%B0%B4%E8%91%A1%E8%90%84%E9%85%92%EF%BD%9C%E7%B2%BE%E7%B7%BB%E7%B4%85%E9%85%92%E7%A6%AE%E7%9B%92%EF%BD%9C%E5%93%81%E9%A3%B2%E5%AE%A4%EF%BD%9C%E7%86%B1%E9%96%80%E9%85%92%E5%93%81/data=!4m7!3m6!1s0x3442affbcfdc1b31:0xf3452ad688733fa1!8m2!3d25.1751017!4d121.4543096!16s%2Fg%2F11j_2sgzng!19sChIJMRvcz_uvQjQRoT9ziNYqRfM?authuser=0&hl=zh-TW&rclk=1
小城故事,3.0 ,2,25107新北市淡水區中山路90巷1號2樓,https://www.google.com/maps/place/%E5%B0%8F%E5%9F%8E%E6%95%85%E4%BA%8B/data=!4m7!3m6!1s0x3442a5fecc8dc195:0x9a308b752bcce07!8m2!3d25.1707552!4d121.4428382!16s%2Fg%2F11tw_xbz1z!19sChIJlcGNzP6lQjQRB868UrcIowk?authuser=0&hl=zh-TW&rclk=1
LOBBY BAR,3.6 ,21,251新北市淡水區觀海路83號,https://www.google.com/maps/place/LOBBY+BAR/data=!4m7!3m6!1s0x3442a53140c89e17:0x44bfda981a55bae1!8m2!3d25.182035!4d121.4158716!16s%2Fg%2F11yf4fxfc!19sChIJF57IQDGlQjQR4bpVGpjav0Q?authuser=0&hl=zh-TW&rclk=1
烤不倒我-烤魚,5.0 ,49,251新北市淡水區中山北路一段133號,https://www.google.com/maps/place/%E7%83%A4%E4%B8%8D%E5%80%92%E6%88%91-%E7%83%A4%E9%AD%9A/data=!4m7!3m6!1s0x3442a5fc2b5dcd87:0x4a69500a57eb323d!8m2!3d25.1770918!4d121.4428037!16s%2Fg%2F11w9m_mt7y!19sChIJh81dK_ylQjQRPTLrVwpQaUo?authuser=0&hl=zh-TW&rclk=1
drinks menu by lil-full,評分未找到,評論數未找到,251新北市淡水區北新路184巷82號,https://www.google.com/maps/place/drinks+menu+by+lil-full/data=!4m7!3m6!1s0x3442afe56e033c8b:0xe88c8f300b09b378!8m2!3d25.1775616!4d121.4505985!16s%2Fg%2F11ltlnqs1y!19sChIJizwDbuWvQjQReLMJCzCPjOg?authuser=0&hl=zh-TW&rclk=1
開翔洋煙酒專賣店,4.6 ,10,251新北市淡水區學府路60-3號,https://www.google.com/maps/place/%E9%96%8B%E7%BF%94%E6%B4%8B%E7%85%99%E9%85%92%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x3442aff79c5736bf:0x1466369acabda9b6!8m2!3d25.1695089!4d121.4482721!16s%2Fg%2F11g0ldg702!19sChIJvzZXnPevQjQRtqm9ypo2ZhQ?authuser=0&hl=zh-TW&rclk=1
越夜月美海邊咖啡廳,4.5 ,615,25154新北市淡水區淡海路280巷33弄32號,https://www.google.com/maps/place/%E8%B6%8A%E5%A4%9C%E6%9C%88%E7%BE%8E%E6%B5%B7%E9%82%8A%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x3442bb4fe2b8fe17:0x81bb7affbfc88099!8m2!3d25.1900182!4d121.4180157!16s%2Fg%2F11k8jm4lrj!19sChIJF_644k-7QjQRmYDIv_96u4E?authuser=0&hl=zh-TW&rclk=1
渡船人-景觀-咖啡廳-酒吧-,4.9 ,194,249新北市八里區渡船頭街21巷7號條街，入口在{豐食屋}內，走進來上三樓搭船碼頭橫的這3樓,https://www.google.com/maps/place/%E6%B8%A1%E8%88%B9%E4%BA%BA-%E6%99%AF%E8%A7%80-%E5%92%96%E5%95%A1%E5%BB%B3-%E9%85%92%E5%90%A7-/data=!4m7!3m6!1s0x3442a5488b890e2b:0xfe5e6311e5bd0f15!8m2!3d25.15906!4d121.4347211!16s%2Fg%2F11t9cq_rbd!19sChIJKw6Ji0ilQjQRFQ-95RFjXv4?authuser=0&hl=zh-TW&rclk=1
艾莉斯餐酒館,4.6 ,656,251新北市淡水區大忠街117號,https://www.google.com/maps/place/%E8%89%BE%E8%8E%89%E6%96%AF%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a5560bf673a1:0xa4d40381f3b38e42!8m2!3d25.1771041!4d121.4473109!16s%2Fg%2F1tfd4nw8!19sChIJoXP2C1alQjQRQo6z84ED1KQ?authuser=0&hl=zh-TW&rclk=1
And Bar,5.0 ,6,"No. 270-1號, 淡金路二段淡水區新北市251",https://www.google.com/maps/place/And+Bar/data=!4m7!3m6!1s0x3442b1ac59a5a969:0x734b61f9acf4dd80!8m2!3d25.1885582!4d121.447118!16s%2Fg%2F11qq0z1m16!19sChIJaamlWayxQjQRgN30rPlhS3M?authuser=0&hl=zh-TW&rclk=1
紅毛城旁邊 咖啡餐酒館,4.8 ,684,251新北市淡水區中正路26巷6號,https://www.google.com/maps/place/%E7%B4%85%E6%AF%9B%E5%9F%8E%E6%97%81%E9%82%8A+%E5%92%96%E5%95%A1%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a516c505e14f:0x47fffae17dabb330!8m2!3d25.1743029!4d121.4345258!16s%2Fg%2F11jkqv8zlz!19sChIJT-EFxRalQjQRMLOrfeH6_0c?authuser=0&hl=zh-TW&rclk=1
蔦燒日式居酒屋-淡水新市店,4.8 ,"2,425",251新北市淡水區新市一路三段143號之1號,https://www.google.com/maps/place/%E8%94%A6%E7%87%92%E6%97%A5%E5%BC%8F%E5%B1%85%E9%85%92%E5%B1%8B-%E6%B7%A1%E6%B0%B4%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x3442afc95d5f0845:0x59211dfa79773b85!8m2!3d25.1831693!4d121.4474958!16s%2Fg%2F11f8j0j5pm!19sChIJRQhfXcmvQjQRhTt3efodIVk?authuser=0&hl=zh-TW&rclk=1
海堂 KAIDO Sushi Bar (全預約制),4.9 ,93,251新北市淡水區中正東路二段107巷13號,https://www.google.com/maps/place/%E6%B5%B7%E5%A0%82+KAIDO+Sushi+Bar+%28%E5%85%A8%E9%A0%90%E7%B4%84%E5%88%B6%29/data=!4m7!3m6!1s0x3442afcb2b2f3f07:0xf60e07ca303b649c!8m2!3d25.1518288!4d121.4610477!16s%2Fg%2F11lckd6k1y!19sChIJBz8vK8uvQjQRnGQ7MMoHDvY?authuser=0&hl=zh-TW&rclk=1
QP terrace 覺軒會館,4.5 ,192,251新北市淡水區英專路151號,https://www.google.com/maps/place/QP+terrace+%E8%A6%BA%E8%BB%92%E6%9C%83%E9%A4%A8/data=!4m7!3m6!1s0x3442afb45cb670b9:0xcb3281704e328518!8m2!3d25.1737241!4d121.4480917!16s%2Fg%2F11ptn8k5y7!19sChIJuXC2XLSvQjQRGIUyTnCBMss?authuser=0&hl=zh-TW&rclk=1
品味牛排餐酒館,4.5 ,423,251新北市淡水區民族路28號2樓,https://www.google.com/maps/place/%E5%93%81%E5%91%B3%E7%89%9B%E6%8E%92%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442af9ded397703:0xd43028a160cbbbb4!8m2!3d25.136398!4d121.4611433!16s%2Fg%2F11c0rt_4ty!19sChIJA3c57Z2vQjQRtLvLYKEoMNQ?authuser=0&hl=zh-TW&rclk=1
