店名,評分,評論數,地址,鏈接
楓味亭,4.0 ,81,11645台北市文山區木柵路一段200號,https://www.google.com/maps/place/%E6%A5%93%E5%91%B3%E4%BA%AD/data=!4m7!3m6!1s0x3442abf70ee488fb:0xd5e8c8e9f8e759e4!8m2!3d24.9877622!4d121.5529607!16s%2Fg%2F11h0t8kh04!19sChIJ-4jkDverQjQR5Fnn-OnI6NU?authuser=0&hl=zh-TW&rclk=1
米絲阿樂局調酒專賣,4.6 ,275,116台北市文山區萬芳路60-18號,https://www.google.com/maps/place/%E7%B1%B3%E7%B5%B2%E9%98%BF%E6%A8%82%E5%B1%80%E8%AA%BF%E9%85%92%E5%B0%88%E8%B3%A3/data=!4m7!3m6!1s0x3442aa6f2bcf4101:0x331e0d32bee13e28!8m2!3d24.998572!4d121.568614!16s%2Fg%2F11b7fhfcpd!19sChIJAUHPK2-qQjQRKD7hvjINHjM?authuser=0&hl=zh-TW&rclk=1
Old Bridge 飛鏢吧,4.4 ,62,116台北市文山區景美街158號,https://www.google.com/maps/place/Old+Bridge+%E9%A3%9B%E9%8F%A2%E5%90%A7/data=!4m7!3m6!1s0x346801fe164674ab:0xcf52a4fce2b3530e!8m2!3d24.9884583!4d121.5413922!16s%2Fg%2F11c6sly1tt!19sChIJq3RGFv4BaDQRDlOz4vykUs8?authuser=0&hl=zh-TW&rclk=1
山羊 GOAT bistro & cafe’,4.6 ,229,116台北市文山區興隆路四段100號,https://www.google.com/maps/place/%E5%B1%B1%E7%BE%8A+GOAT+bistro+%26+cafe%E2%80%99/data=!4m7!3m6!1s0x34680311e955080b:0xe5ce38d9e9490ca4!8m2!3d24.983336!4d121.561987!16s%2Fg%2F11tdtdjn1m!19sChIJCwhV6REDaDQRpAxJ6dk4zuU?authuser=0&hl=zh-TW&rclk=1
老酒霸居酒屋 景美店,4.9 ,"4,300",116台北市文山區羅斯福路六段455巷23號,https://www.google.com/maps/place/%E8%80%81%E9%85%92%E9%9C%B8%E5%B1%85%E9%85%92%E5%B1%8B+%E6%99%AF%E7%BE%8E%E5%BA%97/data=!4m7!3m6!1s0x3442abf5c8a61c25:0xe0a63fe88ca483b7!8m2!3d24.990159!4d121.540563!16s%2Fg%2F11h6d61s6l!19sChIJJRymyPWrQjQRt4OkjOg_puA?authuser=0&hl=zh-TW&rclk=1
追夢輸送 居酒屋,4.8 ,132,116台北市文山區指南路二段45巷3號,https://www.google.com/maps/place/%E8%BF%BD%E5%A4%A2%E8%BC%B8%E9%80%81+%E5%B1%85%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x3442abad6478391f:0xecdb912138058f34!8m2!3d24.9882329!4d121.574213!16s%2Fg%2F11tn56yw8y!19sChIJHzl4ZK2rQjQRNI8FOCGR2-w?authuser=0&hl=zh-TW&rclk=1
李氏兄弟44號餐酒館(李氏餐坊),4.8 ,701,116台北市文山區新光路一段104號,https://www.google.com/maps/place/%E6%9D%8E%E6%B0%8F%E5%85%84%E5%BC%9F44%E8%99%9F%E9%A4%90%E9%85%92%E9%A4%A8%28%E6%9D%8E%E6%B0%8F%E9%A4%90%E5%9D%8A%29/data=!4m7!3m6!1s0x34689f957b651b21:0xc054457c30a251f2!8m2!3d24.9914219!4d121.57353!16s%2Fg%2F1tngn05t!19sChIJIRtle5WfaDQR8lGiMHxFVMA?authuser=0&hl=zh-TW&rclk=1
夜樂小吃部附設卡拉OK,3.9 ,47,116台北市文山區木新路三段259號,https://www.google.com/maps/place/%E5%A4%9C%E6%A8%82%E5%B0%8F%E5%90%83%E9%83%A8%E9%99%84%E8%A8%AD%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x346801e0c73a042f:0x5e53ff556fab4e90!8m2!3d24.9809811!4d121.5583044!16s%2Fg%2F11f3bkndry!19sChIJLwQ6x-ABaDQRkE6rb1X_U14?authuser=0&hl=zh-TW&rclk=1
夜明珠卡拉OK,4.0 ,111,116台北市文山區興隆路三段235號,https://www.google.com/maps/place/%E5%A4%9C%E6%98%8E%E7%8F%A0%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442aa0d28890393:0xfef93bbb265de653!8m2!3d24.9932622!4d121.5592447!16s%2Fg%2F1pzr71ffg!19sChIJkwOJKA2qQjQRU-ZdJrs7-f4?authuser=0&hl=zh-TW&rclk=1
Book Bar,5.0 ,23,116台北市文山區羅斯福路五段269巷30號,https://www.google.com/maps/place/Book+Bar/data=!4m7!3m6!1s0x3442ab88cc46cbe1:0xb782d392a6853d14!8m2!3d25.0013447!4d121.540868!16s%2Fg%2F11p_77s2nb!19sChIJ4ctGzIirQjQRFD2FppLTgrc?authuser=0&hl=zh-TW&rclk=1
