店名,評分,評論數,地址,鏈接
Hers & His Lounge Bar 她/他,5.0 ,449,103台北市大同區重慶北路二段80巷6號,https://www.google.com/maps/place/Hers+%26+His+Lounge+Bar+%E5%A5%B9%2F%E4%BB%96/data=!4m7!3m6!1s0x3442a9e3214c2a49:0x305e70109433673d!8m2!3d25.056371!4d121.5133044!16s%2Fg%2F11js9z1kyg!19sChIJSSpMIeOpQjQRPWczlBBwXjA?authuser=0&hl=zh-TW&rclk=1
酒囊飯袋 家常菜餐廳,4.3 ,"1,418",228新北市貢寮區長泰路17之2號,https://www.google.com/maps/place/%E9%85%92%E5%9B%8A%E9%A3%AF%E8%A2%8B+%E5%AE%B6%E5%B8%B8%E8%8F%9C%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x345d5b8fb84af33d:0x827b98554085bf9!8m2!3d25.0208991!4d121.8919363!16s%2Fg%2F11d_tf5kwz!19sChIJPfNKuI9bXTQR-VsIVIW5Jwg?authuser=0&hl=zh-TW&rclk=1
地下鐵路-Railroad Bistro 樹林後火車站酒吧 生蠔BAR 酗酒互助會樹林分部,4.9 ,184,238新北市樹林區中山路一段115之22號,https://www.google.com/maps/place/%E5%9C%B0%E4%B8%8B%E9%90%B5%E8%B7%AF-Railroad+Bistro+%E6%A8%B9%E6%9E%97%E5%BE%8C%E7%81%AB%E8%BB%8A%E7%AB%99%E9%85%92%E5%90%A7+%E7%94%9F%E8%A0%94BAR+%E9%85%97%E9%85%92%E4%BA%92%E5%8A%A9%E6%9C%83%E6%A8%B9%E6%9E%97%E5%88%86%E9%83%A8/data=!4m7!3m6!1s0x34681d3ecd36eb1b:0x7ef1127a97e6bf38!8m2!3d24.9900654!4d121.4232307!16s%2Fg%2F11rxwh7tqs!19sChIJG-s2zT4daDQROL_ml3oS8X4?authuser=0&hl=zh-TW&rclk=1
榕 RON,4.3 ,"1,698",111台北市士林區中山北路五段461巷21號,https://www.google.com/maps/place/%E6%A6%95+RON/data=!4m7!3m6!1s0x3442aea4e7dae6cd:0x96b286ba2ec98dcd!8m2!3d25.091456!4d121.527133!16s%2Fg%2F11b6xkbkt7!19sChIJzeba56SuQjQRzY3JLrqGspY?authuser=0&hl=zh-TW&rclk=1
9% 酒趴串燒Restaurant&Bar,4.7 ,"1,072",220新北市板橋區文化路二段357號,https://www.google.com/maps/place/9%25+%E9%85%92%E8%B6%B4%E4%B8%B2%E7%87%92Restaurant%26Bar/data=!4m7!3m6!1s0x3442a841404c621d:0x249ccc68d4db7971!8m2!3d25.0308172!4d121.4728356!16s%2Fg%2F11b6gn5fdh!19sChIJHWJMQEGoQjQRcXnb1GjMnCQ?authuser=0&hl=zh-TW&rclk=1
平溪山丘Pingxi Mountain Hill,5.0 ,26,226新北市平溪區靜安路二段469號,https://www.google.com/maps/place/%E5%B9%B3%E6%BA%AA%E5%B1%B1%E4%B8%98Pingxi+Mountain+Hill/data=!4m7!3m6!1s0x345d57d59c9d0573:0x5019a2aa326025cb!8m2!3d25.0253127!4d121.7419634!16s%2Fg%2F11jnb65d1s!19sChIJcwWdnNVXXTQRyyVgMqqiGVA?authuser=0&hl=zh-TW&rclk=1
InnRose 玫瑰左岸莊園－星空酒吧｜露天酒吧｜調酒｜生啤酒,4.7 ,21,335桃園市大溪區信義路2號4樓,https://www.google.com/maps/place/InnRose+%E7%8E%AB%E7%91%B0%E5%B7%A6%E5%B2%B8%E8%8E%8A%E5%9C%92%EF%BC%8D%E6%98%9F%E7%A9%BA%E9%85%92%E5%90%A7%EF%BD%9C%E9%9C%B2%E5%A4%A9%E9%85%92%E5%90%A7%EF%BD%9C%E8%AA%BF%E9%85%92%EF%BD%9C%E7%94%9F%E5%95%A4%E9%85%92/data=!4m7!3m6!1s0x346819504632cf05:0x836298205ab8b8fd!8m2!3d24.8870676!4d121.2854863!16s%2Fg%2F11rr1028pv!19sChIJBc8yRlAZaDQR_bi4WiCYYoM?authuser=0&hl=zh-TW&rclk=1
The 41 Bistro 英式餐酒館《永和店》酒吧/生啤/餐廳/聚餐/駐唱/包場/Bar/Draft Beer,4.7 ,"1,186",234新北市永和區得和路41號,https://www.google.com/maps/place/The+41+Bistro+%E8%8B%B1%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8%E3%80%8A%E6%B0%B8%E5%92%8C%E5%BA%97%E3%80%8B%E9%85%92%E5%90%A7%2F%E7%94%9F%E5%95%A4%2F%E9%A4%90%E5%BB%B3%2F%E8%81%9A%E9%A4%90%2F%E9%A7%90%E5%94%B1%2F%E5%8C%85%E5%A0%B4%2FBar%2FDraft+Beer/data=!4m7!3m6!1s0x3442a9e0d19b0393:0x26f8830c2c00db88!8m2!3d25.0002054!4d121.5162278!16s%2Fg%2F11b6sy43xc!19sChIJkwOb0eCpQjQRiNsALAyD-CY?authuser=0&hl=zh-TW&rclk=1
柑腳驛站(精品咖啡館及民宿)(Plein Soleil Coffee Roasters),4.8 ,59,227新北市雙溪區,https://www.google.com/maps/place/%E6%9F%91%E8%85%B3%E9%A9%9B%E7%AB%99%28%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1%E9%A4%A8%E5%8F%8A%E6%B0%91%E5%AE%BF%29%28Plein+Soleil+Coffee+Roasters%29/data=!4m7!3m6!1s0x345d5bb874aa5605:0xf63dae99b19b294a!8m2!3d25.0195524!4d121.8093428!16s%2Fg%2F11j5cv538j!19sChIJBVaqdLhbXTQRSimbsZmuPfY?authuser=0&hl=zh-TW&rclk=1
Lane 72 Bistro 英式餐酒館《板橋店》酒吧/餐廳/早午餐/生啤/聚餐/駐唱/包場/Bar/Draft Beer,4.8 ,"1,117",220新北市板橋區松江街74號,https://www.google.com/maps/place/Lane+72+Bistro+%E8%8B%B1%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8%E3%80%8A%E6%9D%BF%E6%A9%8B%E5%BA%97%E3%80%8B%E9%85%92%E5%90%A7%2F%E9%A4%90%E5%BB%B3%2F%E6%97%A9%E5%8D%88%E9%A4%90%2F%E7%94%9F%E5%95%A4%2F%E8%81%9A%E9%A4%90%2F%E9%A7%90%E5%94%B1%2F%E5%8C%85%E5%A0%B4%2FBar%2FDraft+Beer/data=!4m7!3m6!1s0x3442a9301f3e13b7:0x36e72bd3b8062215!8m2!3d25.0278699!4d121.4686941!16s%2Fg%2F11jh5tvxkq!19sChIJtxM-HzCpQjQRFSIGuNMr5zY?authuser=0&hl=zh-TW&rclk=1
