店名,鏈接
Zoom Inn Bar&Dining｜大安區酒吧推薦 企業包場 六張犁最美酒吧,https://www.google.com/maps/place/Zoom+Inn+Bar%26Dining%EF%BD%9C%E5%A4%A7%E5%AE%89%E5%8D%80%E9%85%92%E5%90%A7%E6%8E%A8%E8%96%A6+%E4%BC%81%E6%A5%AD%E5%8C%85%E5%A0%B4+%E5%85%AD%E5%BC%B5%E7%8A%81%E6%9C%80%E7%BE%8E%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442ab9d8f319275:0x68792ae38559c209!8m2!3d25.0243043!4d121.5502173!16s%2Fg%2F11l23ts02j!19sChIJdZIxj52rQjQRCcJZheMqeWg?authuser=0&hl=zh-TW&rclk=1
Nox Taipei,https://www.google.com/maps/place/Nox+Taipei/data=!4m7!3m6!1s0x3442abccbf58ac15:0x9a91a0c61ab4e70e!8m2!3d25.0302109!4d121.5526414!16s%2Fg%2F1pzy5sj10!19sChIJFaxYv8yrQjQRDue0GsagkZo?authuser=0&hl=zh-TW&rclk=1
Joiny Taipei 招台北餐酒館,https://www.google.com/maps/place/Joiny+Taipei+%E6%8B%9B%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442abde1bd0c52f:0xe49a5e63bf9ff7dc!8m2!3d25.0423018!4d121.5463185!16s%2Fg%2F11y1wgjl4k!19sChIJL8XQG96rQjQR3Pefv2NemuQ?authuser=0&hl=zh-TW&rclk=1
Q9 LOUNGE BAR,https://www.google.com/maps/place/Q9+LOUNGE+BAR/data=!4m7!3m6!1s0x3442abc437e4cfe3:0x40319a85e89b3158!8m2!3d25.0431396!4d121.5527129!16s%2Fg%2F11xh3xxf8!19sChIJ48_kN8SrQjQRWDGb6IWaMUA?authuser=0&hl=zh-TW&rclk=1
The Public House,https://www.google.com/maps/place/The+Public+House/data=!4m7!3m6!1s0x3442abff46b1f7c5:0xdfeccb8698905760!8m2!3d25.0334116!4d121.5496181!16s%2Fg%2F11kf9tbsjx!19sChIJxfexRv-rQjQRYFeQmIbL7N8?authuser=0&hl=zh-TW&rclk=1
Bar Digout,https://www.google.com/maps/place/Bar+Digout/data=!4m7!3m6!1s0x3442abcbddd17d23:0x998b7be84142b3bc!8m2!3d25.0332918!4d121.555638!16s%2Fg%2F11b67n9rk_!19sChIJI33R3curQjQRvLNCQeh7i5k?authuser=0&hl=zh-TW&rclk=1
Kondo bar,https://www.google.com/maps/place/Kondo+bar/data=!4m7!3m6!1s0x3442aba8760fdf13:0x34da7ba48017cbef!8m2!3d25.0272204!4d121.5432863!16s%2Fg%2F11vc2zs6sf!19sChIJE98PdqirQjQR78sXgKR72jQ?authuser=0&hl=zh-TW&rclk=1
unDer lab,https://www.google.com/maps/place/unDer+lab/data=!4m7!3m6!1s0x3442ab9a29a1d3b5:0xc84ae2b4a34e6c7e!8m2!3d25.0387838!4d121.5555312!16s%2Fg%2F11lgrrvqpv!19sChIJtdOhKZqrQjQRfmxOo7TiSsg?authuser=0&hl=zh-TW&rclk=1
BAR宮,https://www.google.com/maps/place/BAR%E5%AE%AE/data=!4m7!3m6!1s0x3442abf926bee7db:0xf2458452829c2195!8m2!3d25.043918!4d121.5478569!16s%2Fg%2F11h79k9xlc!19sChIJ2-e-JvmrQjQRlSGcglKERfI?authuser=0&hl=zh-TW&rclk=1
Book ing 東區店｜東區推薦酒吧、聚餐、約會餐酒館,https://www.google.com/maps/place/Book+ing+%E6%9D%B1%E5%8D%80%E5%BA%97%EF%BD%9C%E6%9D%B1%E5%8D%80%E6%8E%A8%E8%96%A6%E9%85%92%E5%90%A7%E3%80%81%E8%81%9A%E9%A4%90%E3%80%81%E7%B4%84%E6%9C%83%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab687fee0a75:0xbbbc211da00eb2e4!8m2!3d25.0427877!4d121.546981!16s%2Fg%2F11f6356y1b!19sChIJdQruf2irQjQR5LIOoB0hvLs?authuser=0&hl=zh-TW&rclk=1
