店名,評分,評論數,地址,鏈接
無名Bar,4.9,578,108台北市萬華區西寧南路82巷7號,https://www.google.com/maps/place/%E7%84%A1%E5%90%8DBar/data=!4m7!3m6!1s0x3442a9385297f3c9:0x3ffca7869b720460!8m2!3d25.042457!4d121.50551!16s%2Fg%2F11jsf0ws9x!19sChIJyfOXUjipQjQRYARym4an_D8?authuser=0&hl=zh-TW&rclk=1
Driftwood 西門町,4.6,"1,806",108台北市萬華區昆明街46號,https://www.google.com/maps/place/Driftwood+%E8%A5%BF%E9%96%80%E7%94%BA/data=!4m7!3m6!1s0x3442a90f275a74bb:0x29954039ef1af9de!8m2!3d25.0468243!4d121.505598!16s%2Fg%2F11c6rjq2f3!19sChIJu3RaJw-pQjQR3vka7zlAlSk?authuser=0&hl=zh-TW&rclk=1
PawBar,4.9,633,108台北市萬華區峨眉街86號b1,https://www.google.com/maps/place/PawBar/data=!4m7!3m6!1s0x3442a91bee190299:0x511af310089ae480!8m2!3d25.044136!4d121.503975!16s%2Fg%2F11k3rn3vtf!19sChIJmQIZ7hupQjQRgOSaCBDzGlE?authuser=0&hl=zh-TW&rclk=1
酒咖飲冰室 JIU KA Bistro & Bar,4.8,191,108台北市萬華區中華路一段82號,https://www.google.com/maps/place/%E9%85%92%E5%92%96%E9%A3%B2%E5%86%B0%E5%AE%A4+JIU+KA+Bistro+%26+Bar/data=!4m7!3m6!1s0x3442a9ad2b46e245:0x495a9bf1eca1ca48!8m2!3d25.0453567!4d121.5087509!16s%2Fg%2F11lsl6v555!19sChIJReJGK62pQjQRSMqh7PGbWkk?authuser=0&hl=zh-TW&rclk=1
Ark Taipei,4.4,159,108台北市萬華區成都路54號3樓,https://www.google.com/maps/place/Ark+Taipei/data=!4m7!3m6!1s0x3442a94ad01bfafd:0x4866018166cc5334!8m2!3d25.0426152!4d121.5060777!16s%2Fg%2F11s3zgd9jr!19sChIJ_fob0EqpQjQRNFPMZoEBZkg?authuser=0&hl=zh-TW&rclk=1
竹Ta.ke 九龍灣會館 kowloonbay Shisha,4.8,932,10844台北市萬華區成都路27巷8-1號,https://www.google.com/maps/place/%E7%AB%B9Ta.ke+%E4%B9%9D%E9%BE%8D%E7%81%A3%E6%9C%83%E9%A4%A8+kowloonbay+Shisha/data=!4m7!3m6!1s0x3442a99e092d9d67:0x4647a2f21886fdce!8m2!3d25.0430596!4d121.5067831!16s%2Fg%2F11h54h2f_4!19sChIJZ50tCZ6pQjQRzv2GGPKiR0Y?authuser=0&hl=zh-TW&rclk=1
巷內酒吧 x 酒 鬼煙醉,4.9,940,108台北市萬華區武昌街二段82巷2弄6號,https://www.google.com/maps/place/%E5%B7%B7%E5%85%A7%E9%85%92%E5%90%A7+x+%E9%85%92+%E9%AC%BC%E7%85%99%E9%86%89/data=!4m7!3m6!1s0x3442a999fff1dc3d:0x50158bb4b1bfb510!8m2!3d25.044644!4d121.505695!16s%2Fg%2F11fv3wh6jb!19sChIJPdzx_5mpQjQRELW_sbSLFVA?authuser=0&hl=zh-TW&rclk=1
The 58 Bar,4.6,883,108台北市萬華區開封街二段58號,https://www.google.com/maps/place/The+58+Bar/data=!4m7!3m6!1s0x3442a90e95635d97:0x70eb6c64b31e0c4e!8m2!3d25.0464599!4d121.5072073!16s%2Fg%2F11byyfj732!19sChIJl11jlQ6pQjQRTgwes2Rs63A?authuser=0&hl=zh-TW&rclk=1
Last Order 餐酒館,4.6,"1,688",108台北市萬華區漢口街二段75-1號,https://www.google.com/maps/place/Last+Order+%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a90f24806807:0x56e2d60056adf216!8m2!3d25.0463155!4d121.5050624!16s%2Fg%2F11c1s2l6zl!19sChIJB2iAJA-pQjQRFvKtVgDW4lY?authuser=0&hl=zh-TW&rclk=1
Fancy Bar Ximen | 西門推薦酒吧-台北萬華西門町餐酒館/酒吧/調酒 慶生/約會/包場/派對/聚會 深夜酒吧/創意料理/網美酒吧 2024人氣打卡推薦 必去訂位好評 西門捷運站/藍線/綠線 PTT Dcard,5,445,108台北市萬華區西寧南路72之1號六樓,https://www.google.com/maps/place/Fancy+Bar+Ximen+%7C+%E8%A5%BF%E9%96%80%E6%8E%A8%E8%96%A6%E9%85%92%E5%90%A7-%E5%8F%B0%E5%8C%97%E8%90%AC%E8%8F%AF%E8%A5%BF%E9%96%80%E7%94%BA%E9%A4%90%E9%85%92%E9%A4%A8%2F%E9%85%92%E5%90%A7%2F%E8%AA%BF%E9%85%92+%E6%85%B6%E7%94%9F%2F%E7%B4%84%E6%9C%83%2F%E5%8C%85%E5%A0%B4%2F%E6%B4%BE%E5%B0%8D%2F%E8%81%9A%E6%9C%83+%E6%B7%B1%E5%A4%9C%E9%85%92%E5%90%A7%2F%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86%2F%E7%B6%B2%E7%BE%8E%E9%85%92%E5%90%A7+2024%E4%BA%BA%E6%B0%A3%E6%89%93%E5%8D%A1%E6%8E%A8%E8%96%A6+%E5%BF%85%E5%8E%BB%E8%A8%82%E4%BD%8D%E5%A5%BD%E8%A9%95+%E8%A5%BF%E9%96%80%E6%8D%B7%E9%81%8B%E7%AB%99%2F%E8%97%8D%E7%B7%9A%2F%E7%B6%A0%E7%B7%9A+PTT+Dcard/data=!4m7!3m6!1s0x3442a9e6aa333483:0xe4df774f55e793ca!8m2!3d25.0432389!4d121.5059649!16s%2Fg%2F11vf1_cq56!19sChIJgzQzquapQjQRypPnVU933-Q?authuser=0&hl=zh-TW&rclk=1
