店名,鏈接
小後苑Backyard Jr. (信義Xinyi),https://www.google.com/maps/place/%E5%B0%8F%E5%BE%8C%E8%8B%91Backyard+Jr.+%28%E4%BF%A1%E7%BE%A9Xinyi%29/data=!4m7!3m6!1s0x3442abba1262a95b:0xa7399523976d3cc9!8m2!3d25.0366616!4d121.5667248!16s%2Fg%2F11gbf8llhh!19sChIJW6liErqrQjQRyTxtlyOVOac?authuser=0&hl=zh-TW&rclk=1
Flare Taipei,https://www.google.com/maps/place/Flare+Taipei/data=!4m7!3m6!1s0x3442abaf286b03b3:0xd3f9607afc4eb5b8!8m2!3d25.0361885!4d121.5686108!16s%2Fg%2F11s60955ys!19sChIJswNrKK-rQjQRuLVO_Hpg-dM?authuser=0&hl=zh-TW&rclk=1
Posino Taipei,https://www.google.com/maps/place/Posino+Taipei/data=!4m7!3m6!1s0x3442abad01e0c4c1:0x3e0f0fa7cacf0c84!8m2!3d25.0288695!4d121.5568661!16s%2Fg%2F11mr71nbjl!19sChIJwcTgAa2rQjQRhAzPyqcPDz4?authuser=0&hl=zh-TW&rclk=1
Under Construction Cafe & Bar 施工中咖啡吧,https://www.google.com/maps/place/Under+Construction+Cafe+%26+Bar+%E6%96%BD%E5%B7%A5%E4%B8%AD%E5%92%96%E5%95%A1%E5%90%A7/data=!4m7!3m6!1s0x3442a95b73d1a633:0x54d87a50062a6b0e!8m2!3d25.0307431!4d121.5611969!16s%2Fg%2F11hdtyl2kj!19sChIJM6bRc1upQjQRDmsqBlB62FQ?authuser=0&hl=zh-TW&rclk=1
Twilight 餐酒館｜大安區酒吧｜信義安和酒吧｜,https://www.google.com/maps/place/Twilight+%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%A4%A7%E5%AE%89%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%AE%89%E5%92%8C%E9%85%92%E5%90%A7%EF%BD%9C/data=!4m7!3m6!1s0x3442ab7644678811:0x184a2c94c472e80e!8m2!3d25.0329995!4d121.555005!16s%2Fg%2F11vkl47ps9!19sChIJEYhnRHarQjQRDuhyxJQsShg?authuser=0&hl=zh-TW&rclk=1
"Bibber Dessert Bar · 酒徒的點心店 by Vivid Hermit Saloon Co., Ltd","https://www.google.com/maps/place/Bibber+Dessert+Bar+%C2%B7+%E9%85%92%E5%BE%92%E7%9A%84%E9%BB%9E%E5%BF%83%E5%BA%97+by+Vivid+Hermit+Saloon+Co.,+Ltd/data=!4m7!3m6!1s0x3442ab9489788853:0x386b6bc2f269afd1!8m2!3d25.033362!4d121.5586416!16s%2Fg%2F11t1f8xy3n!19sChIJU4h4iZSrQjQR0a9p8sJrazg?authuser=0&hl=zh-TW&rclk=1"
Ounce,https://www.google.com/maps/place/Ounce/data=!4m7!3m6!1s0x3442abcd1fbd2c2f:0xeb1fe4b16f0cf9ac!8m2!3d25.0332737!4d121.5558604!16s%2Fg%2F11b7cmjknq!19sChIJLyy9H82rQjQRrPkMb7HkH-s?authuser=0&hl=zh-TW&rclk=1
PUN,https://www.google.com/maps/place/PUN/data=!4m7!3m6!1s0x3442abcbc14e34bd:0xfaa10e154b46672a!8m2!3d25.0326229!4d121.5558877!16s%2Fg%2F11g027g74m!19sChIJvTROwcurQjQRKmdGSxUOofo?authuser=0&hl=zh-TW&rclk=1
安慰劑 Placebo Taipei,https://www.google.com/maps/place/%E5%AE%89%E6%85%B0%E5%8A%91+Placebo+Taipei/data=!4m7!3m6!1s0x3442abcaf14d1a35:0xca59c4fe8574e876!8m2!3d25.0300709!4d121.5579706!16s%2Fg%2F11crydqv8w!19sChIJNRpN8cqrQjQRduh0hf7EWco?authuser=0&hl=zh-TW&rclk=1
Sleep No More,https://www.google.com/maps/place/Sleep+No+More/data=!4m7!3m6!1s0x3442ab43faeb08e7:0x3b117ed7e87103cb!8m2!3d25.0352985!4d121.5677192!16s%2Fg%2F11vb50px0p!19sChIJ5wjr-kOrQjQRywNx6Nd-ETs?authuser=0&hl=zh-TW&rclk=1
